기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2021.3/4	합계	합계	4,421,143	9,765,869	4,739,972	5,025,897	9,542,256	4,636,069	4,906,187	223,613	103,903	119,710	2.16	1,592,339
2021.3/4	종로구	소계	73,652	154,318	74,561	79,757	145,512	70,666	74,846	8,806	3,895	4,911	1.98	27,776
2021.3/4	종로구	사직동	4,697	9,645	4,365	5,280	9,379	4,208	5,171	266	157	109	2	1,781
2021.3/4	종로구	삼청동	1,253	2,764	1,311	1,453	2,490	1,181	1,309	274	130	144	1.99	628
2021.3/4	종로구	부암동	4,285	9,852	4,724	5,128	9,648	4,606	5,042	204	118	86	2.25	1,793
2021.3/4	종로구	평창동	7,472	18,336	8,553	9,783	18,158	8,471	9,687	178	82	96	2.43	3,420
2021.3/4	종로구	무악동	3,072	8,334	3,879	4,455	8,295	3,863	4,432	39	16	23	2.7	1,400
2021.3/4	종로구	교남동	4,450	10,229	4,733	5,496	10,071	4,649	5,422	158	84	74	2.26	1,616
2021.3/4	종로구	가회동	2,015	4,259	1,976	2,283	4,162	1,925	2,237	97	51	46	2.07	878
2021.3/4	종로구	종로1.2.3.4가동	5,242	8,403	4,843	3,560	7,187	4,254	2,933	1,216	589	627	1.37	1,955
2021.3/4	종로구	종로5·6가동	3,400	5,526	2,964	2,562	5,133	2,750	2,383	393	214	179	1.51	1,067
2021.3/4	종로구	이화동	4,305	7,774	3,634	4,140	7,312	3,450	3,862	462	184	278	1.7	1,358
2021.3/4	종로구	창신1동	2,851	5,704	3,030	2,674	4,943	2,643	2,300	761	387	374	1.73	1,234
2021.3/4	종로구	창신2동	4,049	9,137	4,657	4,480	7,985	4,112	3,873	1,152	545	607	1.97	1,753
2021.3/4	종로구	창신3동	2,817	6,845	3,392	3,453	6,668	3,281	3,387	177	111	66	2.37	1,217
2021.3/4	종로구	숭인1동	2,970	6,146	2,945	3,201	5,881	2,844	3,037	265	101	164	1.98	1,184
2021.3/4	종로구	숭인2동	6,234	10,140	5,036	5,104	9,650	4,865	4,785	490	171	319	1.55	1,657
2021.3/4	종로구	청운효자동	5,255	12,220	5,675	6,545	12,020	5,569	6,451	200	106	94	2.29	2,156
2021.3/4	종로구	혜화동	9,285	19,004	8,844	10,160	16,530	7,995	8,535	2,474	849	1,625	1.78	2,679
2021.3/4	중구	소계	63,267	131,943	64,274	67,669	122,858	59,853	63,005	9,085	4,421	4,664	1.94	24,225
2021.3/4	중구	소공동	1,280	3,286	1,674	1,612	2,231	1,067	1,164	1,055	607	448	1.74	293
2021.3/4	중구	회현동	2,782	5,488	2,858	2,630	4,862	2,534	2,328	626	324	302	1.75	1,348
2021.3/4	중구	명동	1,532	3,685	1,673	2,012	2,880	1,258	1,622	805	415	390	1.88	751
2021.3/4	중구	필동	2,501	4,678	2,361	2,317	4,059	2,062	1,997	619	299	320	1.62	907
2021.3/4	중구	장충동	2,739	5,344	2,704	2,640	4,604	2,355	2,249	740	349	391	1.68	848
2021.3/4	중구	광희동	3,337	6,292	3,220	3,072	5,206	2,672	2,534	1,086	548	538	1.56	1,115
2021.3/4	중구	을지로동	1,345	1,909	1,152	757	1,752	1,075	677	157	77	80	1.3	469
2021.3/4	중구	신당5동	5,359	10,728	5,204	5,524	10,378	5,052	5,326	350	152	198	1.94	1,813
2021.3/4	중구	황학동	6,933	13,326	6,339	6,987	12,484	5,962	6,522	842	377	465	1.8	2,017
2021.3/4	중구	중림동	5,672	12,408	6,162	6,246	12,105	6,006	6,099	303	156	147	2.13	2,080
2021.3/4	중구	신당동	4,679	9,087	4,406	4,681	7,639	3,780	3,859	1,448	626	822	1.63	1,449
2021.3/4	중구	다산동	6,895	14,350	6,944	7,406	13,897	6,749	7,148	453	195	258	2.02	2,756
2021.3/4	중구	약수동	7,847	17,003	7,945	9,058	16,794	7,840	8,954	209	105	104	2.14	3,789
2021.3/4	중구	청구동	6,270	13,851	6,543	7,308	13,622	6,430	7,192	229	113	116	2.17	2,719
2021.3/4	중구	동화동	4,096	10,508	5,089	5,419	10,345	5,011	5,334	163	78	85	2.53	1,871
2021.3/4	용산구	소계	111,177	238,300	115,655	122,645	224,145	107,801	116,344	14,155	7,854	6,301	2.02	38,906
2021.3/4	용산구	후암동	8,434	17,411	8,493	8,918	16,929	8,261	8,668	482	232	250	2.01	3,006
2021.3/4	용산구	용산2가동	5,248	10,793	5,286	5,507	9,500	4,588	4,912	1,293	698	595	1.81	2,049
2021.3/4	용산구	남영동	5,171	7,832	4,715	3,117	7,347	4,465	2,882	485	250	235	1.42	1,550
2021.3/4	용산구	원효로2동	5,963	13,924	6,546	7,378	13,803	6,499	7,304	121	47	74	2.31	2,300
2021.3/4	용산구	효창동	4,389	10,213	4,830	5,383	10,094	4,777	5,317	119	53	66	2.3	1,492
2021.3/4	용산구	용문동	5,363	12,037	5,754	6,283	11,922	5,700	6,222	115	54	61	2.22	2,124
2021.3/4	용산구	이촌1동	9,693	27,027	12,732	14,295	26,286	12,318	13,968	741	414	327	2.71	4,361
2021.3/4	용산구	이촌2동	3,707	8,443	3,949	4,494	8,371	3,920	4,451	72	29	43	2.26	1,777
2021.3/4	용산구	이태원1동	3,635	8,225	4,309	3,916	6,452	3,147	3,305	1,773	1,162	611	1.77	1,392
2021.3/4	용산구	이태원2동	4,928	10,594	4,976	5,618	9,049	4,172	4,877	1,545	804	741	1.84	1,848
2021.3/4	용산구	서빙고동	5,308	13,913	6,688	7,225	13,080	6,259	6,821	833	429	404	2.46	2,151
