기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020	합계	합계	4,417,954	9,911,088	4,816,522	5,094,566	9,668,465	4,701,723	4,966,742	242,623	114,799	127,824	2.19	1,568,331
2020	종로구	소계	75,003	158,996	76,876	82,120	149,384	72,635	76,749	9,612	4,241	5,371	1.99	28,507
2020	종로구	사직동	4,758	9,806	4,428	5,378	9,526	4,264	5,262	280	164	116	2	1,843
2020	종로구	삼청동	1,342	2,909	1,406	1,503	2,640	1,272	1,368	269	134	135	1.97	674
2020	종로구	부암동	4,392	10,333	4,937	5,396	10,022	4,772	5,250	311	165	146	2.28	1,839
2020	종로구	평창동	7,522	18,582	8,636	9,946	18,391	8,550	9,841	191	86	105	2.44	3,398
2020	종로구	무악동	3,192	8,592	3,999	4,593	8,546	3,979	4,567	46	20	26	2.68	1,460
2020	종로구	교남동	4,602	10,634	4,926	5,708	10,477	4,848	5,629	157	78	79	2.28	1,644
2020	종로구	가회동	2,077	4,418	2,052	2,366	4,325	2,000	2,325	93	52	41	2.08	937
2020	종로구	종로1.2.3.4가동	5,283	8,448	4,965	3,483	7,256	4,352	2,904	1,192	613	579	1.37	1,991
2020	종로구	종로5·6가동	3,415	5,656	3,072	2,584	5,242	2,838	2,404	414	234	180	1.53	1,119
2020	종로구	이화동	4,430	8,111	3,757	4,354	7,588	3,567	4,021	523	190	333	1.71	1,415
2020	종로구	창신1동	2,961	5,964	3,190	2,774	5,129	2,775	2,354	835	415	420	1.73	1,268
2020	종로구	창신2동	4,185	9,503	4,857	4,646	8,318	4,283	4,035	1,185	574	611	1.99	1,793
2020	종로구	창신3동	2,913	7,107	3,508	3,599	6,925	3,398	3,527	182	110	72	2.38	1,241
2020	종로구	숭인1동	3,035	6,388	3,082	3,306	6,078	2,960	3,118	310	122	188	2	1,216
2020	종로구	숭인2동	6,165	10,178	5,070	5,108	9,691	4,909	4,782	487	161	326	1.57	1,703
2020	종로구	청운효자동	5,357	12,633	5,886	6,747	12,431	5,779	6,652	202	107	95	2.32	2,249
2020	종로구	혜화동	9,374	19,734	9,105	10,629	16,799	8,089	8,710	2,935	1,016	1,919	1.79	2,717
2020	중구	소계	63,686	134,635	65,776	68,859	125,240	61,222	64,018	9,395	4,554	4,841	1.97	24,495
2020	중구	소공동	1,130	3,011	1,556	1,455	2,069	1,027	1,042	942	529	413	1.83	283
2020	중구	회현동	3,025	5,757	3,051	2,706	5,136	2,720	2,416	621	331	290	1.7	1,552
2020	중구	명동	1,552	3,685	1,642	2,043	2,914	1,242	1,672	771	400	371	1.88	781
2020	중구	필동	2,406	4,754	2,419	2,335	4,034	2,083	1,951	720	336	384	1.68	869
2020	중구	장충동	2,755	5,468	2,723	2,745	4,664	2,359	2,305	804	364	440	1.69	846
2020	중구	광희동	3,295	6,416	3,310	3,106	5,224	2,704	2,520	1,192	606	586	1.59	1,231
2020	중구	을지로동	1,373	1,967	1,173	794	1,816	1,096	720	151	77	74	1.32	525
2020	중구	신당5동	5,392	10,867	5,266	5,601	10,527	5,122	5,405	340	144	196	1.95	1,784
2020	중구	황학동	6,927	13,531	6,430	7,101	12,583	6,004	6,579	948	426	522	1.82	2,015
2020	중구	중림동	5,843	12,801	6,398	6,403	12,498	6,232	6,266	303	166	137	2.14	2,126
2020	중구	신당동	4,629	9,191	4,516	4,675	7,692	3,849	3,843	1,499	667	832	1.66	1,442
2020	중구	다산동	6,965	14,725	7,105	7,620	14,243	6,907	7,336	482	198	284	2.04	2,663
2020	중구	약수동	7,809	17,354	8,184	9,170	17,128	8,066	9,062	226	118	108	2.19	3,799
2020	중구	청구동	6,413	14,281	6,776	7,505	14,056	6,668	7,388	225	108	117	2.19	2,700
2020	중구	동화동	4,172	10,827	5,227	5,600	10,656	5,143	5,513	171	84	87	2.55	1,879
2020	용산구	소계	113,093	244,645	118,835	125,810	230,040	110,722	119,318	14,605	8,113	6,492	2.03	40,247
2020	용산구	후암동	8,710	18,202	8,852	9,350	17,696	8,591	9,105	506	261	245	2.03	3,095
2020	용산구	용산2가동	5,407	11,272	5,498	5,774	9,972	4,798	5,174	1,300	700	600	1.84	2,108
2020	용산구	남영동	5,385	8,116	4,887	3,229	7,623	4,641	2,982	493	246	247	1.42	1,642
2020	용산구	원효로2동	6,042	14,331	6,732	7,599	14,202	6,677	7,525	129	55	74	2.35	2,420
2020	용산구	효창동	4,381	10,326	4,894	5,432	10,205	4,834	5,371	121	60	61	2.33	1,459
2020	용산구	용문동	5,448	12,455	5,939	6,516	12,327	5,879	6,448	128	60	68	2.26	2,131
2020	용산구	이촌1동	10,337	28,961	13,597	15,364	28,139	13,152	14,987	822	445	377	2.72	4,579
2020	용산구	이촌2동	3,851	8,808	4,133	4,675	8,727	4,101	4,626	81	32	49	2.27	1,793
2020	용산구	이태원1동	3,934	8,764	4,500	4,264	6,923	3,290	3,633	1,841	1,210	631	1.76	1,627
2020	용산구	이태원2동	5,035	10,795	5,072	5,723	9,285	4,276	5,009	1,510	796	714	1.84	1,916
2020	용산구	서빙고동	5,324	14,000	6,753	7,247	13,187	6,328	6,859	813	425	388	2.48	2,113
2020	용산구	보광동	7,787	15,531	7,919	7,612	14,216	7,039	7,177	1,315	880	435	1.83	2,817
2020	용산구	청파동	11,110	20,496	9,570	10,926	19,829	9,325	10,504	667	245	422	1.78	3,380
2020	용산구	원효로1동	8,039	16,730	8,091	8,639	16,089	7,748	8,341	641	343	298	2	2,006
2020	용산구	한강로동	10,875	22,097	10,736	11,361	20,444	9,858	10,586	1,653	878	775	1.88	3,349
