기간,자치구,종류별,합계,합계,직장(근로자),직장(근로자),공무원·교직원,공무원·교직원,지역,지역
기간,자치구,종류별,건수,금액,건수,금액,건수,금액,건수,금액
2015,합계,합계,"247,416,909","7,676,393,974","161,778,985","4,755,441,729","16,358,171","508,385,979","69,279,753","2,412,566,266"
2015,합계,입원,"1,975,168","2,701,181,198","1,201,149","1,594,291,983","138,414","185,085,783","635,605","921,803,432"
2015,합계,외래,"159,215,402","3,239,122,618","103,805,673","2,061,670,451","10,683,026","213,564,885","44,726,703","963,887,282"
2015,합계,약국,"86,226,339","1,736,090,158","56,772,163","1,099,479,296","5,536,731","109,735,311","23,917,445","526,875,552"
2015,종로구,소계,"3,607,738","128,998,692","2,117,131","71,819,376","263,925","9,401,163","1,226,682","47,778,153"
2015,종로구,입원,"50,054","52,471,512","29,806","28,203,375","4,231","4,146,956","16,017","20,121,181"
2015,종로구,외래,"2,350,544","49,106,677","1,373,672","27,990,908","172,031","3,468,494","804,841","17,647,276"
2015,종로구,약국,"1,207,140","27,420,503","713,653","15,625,094","87,663","1,785,713","405,824","10,009,696"
2015,중구,소계,"3,217,247","112,384,773","1,921,038","62,371,914","137,586","4,861,011","1,158,623","45,151,848"
2015,중구,입원,"33,874","44,234,913","18,932","23,413,559","2,076","2,144,875","12,866","18,676,479"
2015,중구,외래,"2,091,476","44,122,546","1,247,588","25,214,936","90,590","1,712,731","753,298","17,194,878"
2015,중구,약국,"1,091,897","24,027,314","654,518","13,743,419","44,920","1,003,404","392,459","9,280,491"
2015,용산구,소계,"5,426,258","181,070,503","3,347,716","104,964,312","375,951","12,117,530","1,702,591","63,988,661"
2015,용산구,입원,"45,456","66,509,486","26,015","36,325,210","3,214","4,617,583","16,227","25,566,693"
2015,용산구,외래,"3,533,417","73,776,148","2,174,178","44,283,197","247,793","4,892,468","1,111,446","24,600,483"
2015,용산구,약국,"1,847,385","40,784,869","1,147,523","24,355,905","124,944","2,607,478","574,918","13,821,486"
2015,성동구,소계,"7,533,837","233,389,619","4,907,242","144,649,101","400,008","12,253,170","2,226,587","76,487,348"
2015,성동구,입원,"57,699","83,228,130","35,225","49,226,804","3,412","4,244,926","19,062","29,756,401"
2015,성동구,외래,"4,852,465","96,886,615","3,149,953","61,945,830","261,131","5,193,068","1,441,381","29,747,717"
