기간	자치구	동	계	5급	6급	7급	8급	9급
2019	합계	합계	9,030	424	1,358	2,154	2,861	2,233
2019	종로구	소계	285	17	45	66	92	65
2019	종로구	사직동	18	1	2	4	7	4
2019	종로구	삼청동	13	1	3	3	3	3
2019	종로구	부암동	15	1	2	3	6	3
2019	종로구	평창동	17	1	2	5	7	2
2019	종로구	무악동	15	1	3	2	5	4
2019	종로구	교남동	14	1	2	4	3	4
2019	종로구	가회동	15	1	3	2	5	4
2019	종로구	종로1.2.3.4가동	22	1	4	9	5	3
2019	종로구	종로5·6가동	18	1	2	4	5	6
2019	종로구	이화동	16	1	2	3	5	5
2019	종로구	창신1동	17	1	3	4	4	5
2019	종로구	창신2동	21	1	3	4	7	6
2019	종로구	창신3동	13	1	2	3	2	5
2019	종로구	숭인1동	15	1	3	4	5	2
2019	종로구	숭인2동	16	1	3	4	7	1
2019	종로구	청운효자동	19	1	3	4	9	2
2019	종로구	혜화동	21	1	3	4	7	6
2019	중구	소계	297	15	51	69	80	82
2019	중구	소공동	20	1	3	5	5	6
2019	중구	회현동	20	1	4	6	5	4
2019	중구	명동	19	1	3	3	6	6
2019	중구	필동	19	1	3	4	6	5
2019	중구	장충동	18	1	3	3	6	5
2019	중구	광희동	18	1	3	4	5	5
2019	중구	을지로동	18	1	3	3	6	5
2019	중구	신당5동	20	1	3	6	6	4
2019	중구	황학동	20	1	3	7	3	6
2019	중구	중림동	21	1	4	6	3	7
2019	중구	신당동	19	1	3	4	7	4
2019	중구	다산동	22	1	4	6	5	6
2019	중구	약수동	23	1	5	4	5	8
2019	중구	청구동	21	1	4	3	7	6
2019	중구	동화동	19	1	3	5	5	5
2019	용산구	소계	306	16	49	82	106	53
2019	용산구	후암동	21	1	3	5	8	4
2019	용산구	용산2가동	19	1	4	5	5	4
2019	용산구	남영동	19	1	3	5	6	4
2019	용산구	원효로2동	18	1	3	5	6	3
2019	용산구	효창동	18	1	3	4	6	4
2019	용산구	용문동	18	1	3	5	7	2
2019	용산구	이촌1동	18	1	3	5	6	3
2019	용산구	이촌2동	17	1	3	5	5	3
2019	용산구	이태원1동	18	1	3	5	5	4
2019	용산구	이태원2동	17	1	3	5	5	3
2019	용산구	서빙고동	17	1	3	4	5	4
2019	용산구	보광동	21	1	3	5	8	4
2019	용산구	청파동	22	1	3	6	9	3
2019	용산구	원효로1동	18	1	3	4	7	3
2019	용산구	한강로동	22	1	3	7	9	2
2019	용산구	한남동	23	1	3	7	9	3
2019	성동구	소계	332	17	38	95	106	76
2019	성동구	왕십리2동	19	1	2	5	7	4
2019	성동구	마장동	23	1	2	6	8	6
2019	성동구	사근동	18	1	2	4	6	5
2019	성동구	행당1동	19	1	2	5	7	4
2019	성동구	행당2동	20	1	2	5	6	6
2019	성동구	응봉동	17	1	2	5	5	4
2019	성동구	금호1가동	21	1	2	6	7	5
2019	성동구	금호4가동	18	1	2	6	5	4
2019	성동구	성수1가1동	17	1	2	6	5	3
2019	성동구	성수1가2동	19	1	2	5	8	3
2019	성동구	성수2가1동	22	1	2	6	6	7
2019	성동구	성수2가3동	19	1	3	6	4	5
2019	성동구	송정동	19	1	2	5	7	4
2019	성동구	용답동	21	1	3	6	7	4
2019	성동구	왕십리도선동	20	1	3	6	6	4
2019	성동구	금호2.3가동	21	1	2	6	7	5
2019	성동구	옥수동	19	1	3	7	5	3
2019	광진구	소계	327	15	45	68	160	39
2019	광진구	화양동	20	1	3	4	11	1
2019	광진구	군자동	22	1	3	4	12	2
2019	광진구	중곡1동	21	1	3	3	11	3
2019	광진구	중곡2동	21	1	3	5	9	3
2019	광진구	중곡3동	22	1	3	5	10	3
2019	광진구	중곡4동	25	1	3	6	12	3
2019	광진구	능동	18	1	3	4	8	2
2019	광진구	구의1동	21	1	3	3	11	3
2019	광진구	구의2동	23	1	3	5	12	2
2019	광진구	구의3동	23	1	3	4	11	4
2019	광진구	광장동	22	1	3	4	11	3
2019	광진구	자양1동	22	1	3	5	11	2
2019	광진구	자양2동	22	1	3	5	10	3
2019	광진구	자양3동	21	1	3	4	11	2
2019	광진구	자양4동	24	1	3	7	10	3
2019	동대문구	소계	326	14	59	84	100	69
2019	동대문구	회기동	16	1	3	4	5	3
2019	동대문구	휘경1동	20	1	3	5	7	4
2019	동대문구	휘경2동	21	1	4	5	8	3
2019	동대문구	청량리동	24	1	5	6	7	5
2019	동대문구	용신동	27	1	5	7	8	6
2019	동대문구	제기동	26	1	5	8	7	5
2019	동대문구	전농1동	26	1	5	6	9	5
2019	동대문구	전농2동	21	1	3	5	7	5
2019	동대문구	답십리1동	23	1	4	5	8	5
2019	동대문구	답십리2동	24	1	4	7	6	6
2019	동대문구	장안1동	27	1	5	7	8	6
2019	동대문구	장안2동	26	1	5	6	8	6
2019	동대문구	이문1동	25	1	4	7	7	6
2019	동대문구	이문2동	20	1	4	6	5	4
2019	중랑구	소계	362	16	49	79	100	118
2019	중랑구	면목2동	22	1	3	4	7	7
2019	중랑구	면목4동	23	1	3	6	7	6
2019	중랑구	면목5동	20	1	3	5	3	8
2019	중랑구	면목7동	22	1	3	5	6	7
2019	중랑구	상봉1동	22	1	3	4	10	4
2019	중랑구	상봉2동	21	1	3	4	4	9
