기간	자치구	동	합계	합계	20대 이하(29세 이하)	20대 이하(29세 이하)	30대(30~39세)	30대(30~39세)	40대(40~49세)	40대(40~49세)	50대(50~59세)	50대(50~59세)	60대 이상(60세 이상)	60대 이상(60세 이상)
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2019	합계	합계	823,624	5,226,997	19,734	56,363	116,841	392,457	217,424	1,198,828	271,016	2,120,610	198,609	1,458,739
2019	종로구	소계	39,679	260,446	755	1,942	4,569	13,595	10,211	47,668	13,142	118,271	11,002	78,970
2019	종로구	사직동	3,574	47,522	73	190	375	1,379	935	8,070	1,239	17,251	952	20,632
2019	종로구	삼청동	732	4,601	17	60	141	464	199	817	190	1,089	185	2,171
2019	종로구	부암동	599	3,454	18	41	73	171	169	669	185	1,014	154	1,559
2019	종로구	평창동	761	3,447	22	78	66	176	177	1,058	253	1,014	243	1,121
2019	종로구	무악동	647	1,644	4	10	147	210	144	287	235	442	117	695
2019	종로구	교남동	413	4,581	10	26	60	210	107	476	124	3,494	112	375
2019	종로구	가회동	765	12,817	12	33	106	319	218	1,187	238	5,226	191	6,052
2019	종로구	종로1.2.3.4가동	15,472	108,747	222	661	1,433	4,870	3,798	19,330	5,184	55,208	4,835	28,678
2019	종로구	종로5·6가동	7,238	24,537	111	253	789	1,838	2,067	6,150	2,393	9,908	1,878	6,388
2019	종로구	이화동	1,191	17,244	36	127	197	886	310	1,587	380	11,636	268	3,008
2019	종로구	창신1동	2,179	5,907	59	127	323	724	535	1,697	686	2,039	576	1,320
2019	종로구	창신2동	864	2,216	13	25	77	180	216	578	366	1,091	192	342
2019	종로구	창신3동	281	895	8	11	43	85	64	141	109	458	57	200
2019	종로구	숭인1동	493	1,545	14	30	67	183	126	360	198	776	88	196
2019	종로구	숭인2동	1,747	6,886	42	76	197	573	423	1,700	570	2,868	515	1,669
2019	종로구	청운효자동	1,028	5,656	22	40	166	391	272	1,607	311	2,014	257	1,604
2019	종로구	혜화동	1,695	8,747	72	154	309	936	451	1,954	481	2,743	382	2,960
2019	중구	소계	60,127	392,568	1,321	4,089	8,128	24,831	15,839	86,752	19,033	161,351	15,806	115,545
2019	중구	소공동	3,849	64,144	100	617	426	2,262	1,040	13,687	1,235	26,295	1,048	21,283
2019	중구	회현동	8,566	45,216	152	374	936	2,140	2,149	13,762	2,658	17,929	2,671	11,011
2019	중구	명동	6,965	110,390	128	1,035	807	4,545	1,853	20,228	2,330	47,707	1,847	36,875
2019	중구	필동	2,886	22,404	43	92	239	774	746	4,099	1,137	11,677	721	5,762
2019	중구	장충동	819	9,181	14	48	62	225	213	1,057	293	4,913	237	2,938
2019	중구	광희동	8,472	36,451	166	377	1,046	3,109	2,116	7,438	2,779	15,488	2,365	10,039
2019	중구	을지로동	8,812	35,333	97	226	619	1,724	1,834	6,009	3,077	15,243	3,185	12,131
2019	중구	신당5동	1,193	4,057	44	98	148	416	277	894	454	1,846	270	803
2019	중구	황학동	1,947	5,643	69	107	218	587	454	1,205	663	2,294	543	1,450
2019	중구	중림동	1,016	7,530	23	67	107	487	256	1,759	329	2,881	301	2,336
2019	중구	신당동	11,459	29,891	351	741	2,965	6,840	3,749	9,399	2,726	8,602	1,668	4,309
2019	중구	다산동	1,424	9,742	40	88	207	739	407	3,672	434	1,934	336	3,309
2019	중구	약수동	833	4,122	28	64	96	252	223	978	253	1,627	233	1,201
2019	중구	청구동	881	4,419	45	105	111	335	225	1,196	311	1,354	189	1,429
2019	중구	동화동	1,005	4,045	21	50	141	396	297	1,369	354	1,561	192	669
2019	용산구	소계	20,254	135,240	592	1,621	3,380	11,209	5,780	32,374	6,038	53,864	4,464	36,172
2019	용산구	후암동	928	3,658	33	71	179	403	240	912	287	1,362	189	910
2019	용산구	용산2가동	601	2,070	36	67	166	387	140	420	132	776	127	420
2019	용산구	남영동	1,619	20,322	28	94	226	923	436	5,068	495	10,578	434	3,659
2019	용산구	원효로2동	958	6,846	12	23	113	310	330	2,555	306	2,436	197	1,522
2019	용산구	효창동	418	2,182	12	26	57	116	104	475	147	559	98	1,006
2019	용산구	용문동	630	1,789	19	35	76	157	165	541	200	664	170	392
2019	용산구	이촌1동	812	3,613	11	46	89	273	211	767	268	1,592	233	935
2019	용산구	이촌2동	347	832	4	6	65	97	69	182	96	255	113	292
2019	용산구	이태원1동	1,538	7,006	65	226	313	1,082	406	1,933	431	1,706	323	2,059
2019	용산구	이태원2동	720	2,208	38	72	196	512	201	694	164	535	121	395
2019	용산구	서빙고동	414	4,683	9	22	54	747	121	1,415	118	1,432	112	1,067
2019	용산구	보광동	840	2,076	26	43	140	314	183	428	281	776	210	515
2019	용산구	청파동	1,685	8,542	64	156	232	544	419	1,607	581	2,529	389	3,706
2019	용산구	원효로1동	1,758	10,067	53	134	278	890	542	2,631	506	3,107	379	3,305
