기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	합계	합계	465,885	390,177	75,322	33,281	54,647	91,166	135,761	42,208	33,500
2019	종로구	계	14,195	13,159	1,302	613	5,037	1,649	4,558	518	518
2019	종로구	사직동	472	415	43	38	9	94	231	27	30
2019	종로구	삼청동	141	128	13	9	***	19	86	7	6
2019	종로구	부암동	638	603	81	25	229	47	221	12	23
2019	종로구	평창동	431	357	15	53	6	108	175	19	55
2019	종로구	무악동	106	73	***	17	***	24	27	11	22
2019	종로구	교남동	340	291	25	33	6	74	153	16	33
2019	종로구	가회동	182	150	10	22	5	26	87	13	19
2019	종로구	종로1.2.3.4가동	990	952	132	36	202	85	497	16	22
2019	종로구	종로5·6가동	654	613	50	26	285	76	176	23	18
2019	종로구	이화동	886	837	44	29	427	42	295	23	26
2019	종로구	창신1동	1,223	1,143	228	62	243	252	358	59	21
2019	종로구	창신2동	1,845	1,660	368	81	382	352	477	123	62
2019	종로구	창신3동	299	253	21	28	47	48	109	25	21
2019	종로구	숭인1동	512	448	83	32	60	97	176	34	30
2019	종로구	숭인2동	824	716	101	58	157	166	234	61	47
2019	종로구	청운효자동	360	318	20	28	***	49	219	9	33
2019	종로구	혜화동	4,292	4,202	65	36	2,974	90	1,037	40	50
2019	중구	계	13,796	12,559	1,771	663	2,628	2,383	5,114	658	579
2019	중구	소공동	549	531	35	14	13	21	448	7	11
2019	중구	회현동	676	606	70	36	16	94	390	37	33
2019	중구	명동	564	525	83	21	69	68	284	21	18
2019	중구	필동	1,285	1,251	52	28	704	42	425	15	19
2019	중구	장충동	1,294	1,254	125	21	493	190	425	21	19
2019	중구	광희동	1,877	1,828	351	38	299	384	756	34	15
2019	중구	을지로동	231	218	43	***	55	30	86	7	6
2019	중구	신당5동	699	544	105	63	61	157	158	91	64
2019	중구	황학동	1,585	1,408	262	99	154	413	480	108	69
2019	중구	중림동	511	425	36	50	28	77	234	42	44
2019	중구	신당동	2,329	2,153	444	84	464	544	617	125	51
2019	중구	다산동	899	787	65	68	191	121	342	52	60
2019	중구	약수동	532	417	39	66	11	92	209	32	83
2019	중구	청구동	398	346	35	42	54	75	140	23	29
2019	중구	동화동	367	266	26	29	16	75	120	43	58
2019	용산구	계	22,332	20,503	1,812	1,253	1,126	2,442	13,870	735	1,094
2019	용산구	후암동	857	696	131	93	27	188	257	80	81
2019	용산구	용산2가동	1,813	1,700	300	102	245	111	942	48	65
2019	용산구	남영동	774	739	101	42	127	128	341	23	12
2019	용산구	원효로2동	266	205	29	34	***	56	82	26	35
2019	용산구	효창동	297	239	16	27	78	37	81	20	38
2019	용산구	용문동	265	197	31	38	8	54	66	24	44
2019	용산구	이촌1동	1,642	1,451	17	110	***	320	1,001	32	159
2019	용산구	이촌2동	270	204	14	31	***	57	100	14	52
2019	용산구	이태원1동	2,917	2,839	108	68	48	116	2,499	32	46
2019	용산구	이태원2동	1,985	1,895	291	106	73	134	1,291	28	62
2019	용산구	서빙고동	1,100	1,028	40	67	7	131	783	25	47
2019	용산구	보광동	2,139	1,941	166	131	112	155	1,377	111	87
2019	용산구	청파동	1,248	1,079	150	91	280	161	397	104	65
2019	용산구	원효로1동	836	734	45	71	27	121	470	38	64
2019	용산구	한강로동	1,930	1,811	111	76	19	295	1,310	41	78
2019	용산구	한남동	3,993	3,745	262	166	66	378	2,873	89	159
2019	성동구	계	14,042	11,774	1,748	1,115	2,753	2,233	3,925	1,087	1,181
2019	성동구	왕십리2동	710	586	93	64	111	128	190	67	57
2019	성동구	마장동	1,198	935	140	83	270	130	312	135	128
2019	성동구	사근동	2,174	2,124	68	29	1,421	68	538	24	26
2019	성동구	행당1동	774	682	77	50	246	82	227	49	43
2019	성동구	행당2동	241	174	12	36	11	47	68	23	44
2019	성동구	응봉동	167	114	9	29	***	25	47	9	44
2019	성동구	금호1가동	273	193	13	48	***	47	83	29	51
2019	성동구	금호4가동	438	340	22	60	33	103	122	35	63
2019	성동구	성수1가1동	646	494	121	63	12	124	174	71	81
2019	성동구	성수1가2동	750	637	137	53	75	156	216	61	52
2019	성동구	성수2가1동	1,177	956	253	99	13	294	297	137	84
2019	성동구	성수2가3동	609	537	168	43	35	90	201	46	26
2019	성동구	송정동	790	666	183	52	64	198	169	73	51
2019	성동구	용답동	1,673	1,482	293	98	320	321	450	124	67
2019	성동구	왕십리도선동	971	718	84	104	110	137	283	128	125
2019	성동구	금호2.3가동	569	414	43	79	24	107	161	49	106
2019	성동구	옥수동	882	722	32	125	***	176	387	27	133
2019	광진구	계	23,823	20,925	3,808	1,282	4,926	4,562	6,347	1,687	1,211
2019	광진구	화양동	4,135	4,001	342	58	2,218	349	1,034	99	35
2019	광진구	군자동	3,180	3,009	217	78	1,469	251	994	90	81
2019	광진구	중곡1동	731	597	121	70	41	152	213	80	54
2019	광진구	중곡2동	738	543	93	87	26	147	190	105	90
2019	광진구	중곡3동	550	388	59	52	17	128	132	73	89
2019	광진구	중곡4동	683	501	70	97	27	58	249	70	112
2019	광진구	능동	451	404	67	42	39	72	184	21	26
2019	광진구	구의1동	1,266	1,074	264	78	43	358	331	124	68
2019	광진구	구의2동	799	641	65	78	47	88	363	68	90
2019	광진구	구의3동	671	540	135	47	12	176	170	74	57
2019	광진구	광장동	403	327	30	35	33	76	153	19	57
2019	광진구	자양1동	1,912	1,555	371	138	102	526	418	231	126
2019	광진구	자양2동	845	653	140	73	22	194	224	107	85
2019	광진구	자양3동	674	486	54	74	45	132	181	92	96
2019	광진구	자양4동	6,785	6,206	1,780	275	785	1,855	1,511	434	145
2019	동대문구	계	23,645	21,049	1,699	1,212	9,443	2,289	6,406	1,397	1,199
2019	동대문구	회기동	3,375	3,315	77	22	2,263	104	849	31	29
2019	동대문구	휘경1동	2,454	2,343	112	46	1,424	120	641	61	50
2019	동대문구	휘경2동	1,099	978	67	57	392	117	345	61	60
2019	동대문구	청량리동	1,171	956	205	97	115	277	262	138	77
2019	동대문구	용신동	2,428	2,076	343	191	380	467	695	231	121
