기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	합계	합계	221,695	594	318,127	187,082	247,097	28,125	50,722	6,488	8,729	594	11,579
2019	본청	본청	-	8	858	-	-	-	-	-	-	8	858
2019	종로구	소계	3,413	13	4,790	2,986	3,535	275	419	152	168	13	668
2019	종로구	사직동	101	-	127	95	116	4	8	2	3	-	-
2019	종로구	삼청동	30	-	42	23	28	5	12	2	2	-	-
2019	종로구	부암동	103	-	133	92	113	10	19	1	1	-	-
2019	종로구	평창동	106	-	147	89	115	10	22	7	10	-	-
2019	종로구	무악동	110	-	145	100	130	6	11	4	4	-	-
2019	종로구	교남동	163	-	212	143	188	14	18	6	6	-	-
2019	종로구	가회동	53	-	65	44	55	5	6	4	4	-	-
2019	종로구	종로1.2.3.4가동	676	-	687	576	587	58	57	42	43	-	-
2019	종로구	종로5·6가동	222	-	267	188	223	25	33	9	11	-	-
2019	종로구	이화동	172	-	214	153	187	11	18	8	9	-	-
2019	종로구	창신1동	361	-	410	319	360	29	37	13	13	-	-
2019	종로구	창신2동	307	-	396	263	329	28	50	16	17	-	-
2019	종로구	창신3동	135	-	204	118	176	11	20	6	8	-	-
2019	종로구	숭인1동	186	-	256	161	209	20	41	5	6	-	-
2019	종로구	숭인2동	363	-	391	323	342	19	27	21	22	-	-
2019	종로구	청운효자동	124	-	164	115	145	8	18	1	1	-	-
2019	종로구	혜화동	198	-	259	181	229	12	22	5	8	-	-
2019	종로구	기타	3	13	671	3	3	-	-	-	-	13	668
2019	중구	소계	3,671	3	4,611	3,298	3,954	277	425	96	120	3	112
2019	중구	소공동	33	-	33	29	29	4	4	-	-	-	-
2019	중구	회현동	482	-	504	438	454	36	42	8	8	-	-
2019	중구	명동	64	-	66	59	61	3	3	2	2	-	-
2019	중구	필동	67	-	74	63	70	3	3	1	1	-	-
2019	중구	장충동	86	-	107	76	94	5	7	5	6	-	-
2019	중구	광희동	120	-	151	110	141	9	9	1	1	-	-
2019	중구	을지로동	92	-	98	81	86	10	11	1	1	-	-
2019	중구	신당5동	286	-	352	263	322	17	23	6	7	-	-
2019	중구	황학동	330	-	397	295	343	23	39	12	15	-	-
2019	중구	중림동	449	-	544	398	478	42	55	9	11	-	-
2019	중구	신당동	237	-	287	216	252	18	32	3	3	-	-
2019	중구	다산동	300	-	407	266	348	29	50	5	9	-	-
2019	중구	약수동	556	-	728	505	632	43	84	8	12	-	-
2019	중구	청구동	459	-	593	399	504	25	45	35	44	-	-
2019	중구	동화동	107	-	156	99	139	8	17	-	-	-	-
2019	중구	기타	3	3	114	1	1	2	1	-	-	3	112
2019	용산구	소계	5,282	12	6,957	4,527	5,641	509	761	246	304	12	251
2019	용산구	후암동	504	-	676	447	586	43	66	14	24	-	-
2019	용산구	용산2가동	315	-	459	259	371	30	56	26	32	-	-
2019	용산구	남영동	1,118	-	1,171	970	1,017	118	123	30	31	-	-
2019	용산구	원효로2동	273	-	363	247	326	17	25	9	12	-	-
2019	용산구	효창동	83	-	126	71	105	9	16	3	5	-	-
2019	용산구	용문동	238	-	319	208	281	18	23	12	15	-	-
2019	용산구	이촌1동	33	-	44	30	39	2	4	1	1	-	-
2019	용산구	이촌2동	92	-	125	86	114	5	10	1	1	-	-
2019	용산구	이태원1동	125	-	163	104	129	13	24	8	10	-	-
2019	용산구	이태원2동	154	-	199	137	175	7	13	10	11	-	-
2019	용산구	서빙고동	182	-	262	156	219	16	29	10	14	-	-
2019	용산구	보광동	626	-	829	521	664	70	125	35	40	-	-
2019	용산구	청파동	609	-	806	508	658	65	105	36	43	-	-
2019	용산구	원효로1동	230	-	290	175	220	32	41	23	29	-	-
2019	용산구	한강로동	302	-	387	265	323	25	46	12	18	-	-
2019	용산구	한남동	398	-	487	343	414	39	55	16	18	-	-
2019	용산구	기타	-	12	251	-	-	-	-	-	-	12	251
2019	성동구	소계	6,123	11	8,488	4,942	6,411	993	1,721	188	234	11	122
2019	성동구	왕십리2동	333	-	472	266	352	56	105	11	15	-	-
2019	성동구	마장동	456	-	679	355	502	80	150	21	27	-	-
2019	성동구	사근동	132	-	185	104	140	21	37	7	8	-	-
2019	성동구	행당1동	305	-	401	239	305	58	88	8	8	-	-
2019	성동구	행당2동	478	-	700	402	569	67	113	9	18	-	-
2019	성동구	응봉동	129	-	176	109	142	15	29	5	5	-	-
2019	성동구	금호1가동	448	-	597	373	465	51	101	24	31	-	-
2019	성동구	금호4가동	262	-	360	224	290	35	65	3	5	-	-
2019	성동구	성수1가1동	313	-	447	254	340	50	97	9	10	-	-
2019	성동구	성수1가2동	178	-	242	148	194	27	45	3	3	-	-
2019	성동구	성수2가1동	533	-	688	432	527	91	151	10	10	-	-
2019	성동구	성수2가3동	164	-	202	129	155	34	46	1	1	-	-
2019	성동구	송정동	422	-	573	330	442	81	115	11	16	-	-
2019	성동구	용답동	581	-	733	435	519	122	188	24	26	-	-
2019	성동구	왕십리도선동	581	-	745	492	597	79	136	10	12	-	-
