기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	합계	합계	467	4,830,314	24,561,393	59	649,611	5,296,534	29	925,225	3,721,343	22	337,589	2,348,163	38	781,742	4,154,519	10	211,546	1,534,048	309	1,924,601	7,506,787
2019	종로구	소계	13	156,702	490,721	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	11	140,446	322,410
2019	종로구	종로1.2.3.4가동	7	76,889	379,212	-	-	-	-	-	-	2	16,256	168,311	-	-	-	-	-	-	5	60,633	210,901
2019	종로구	종로5·6가동	3	71,445	83,436	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	71,445	83,436
2019	종로구	창신1동	1	3,660	9,625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,660	9,625
2019	종로구	창신3동	1	3,394	16,755	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,394	16,755
2019	종로구	숭인2동	1	1,314	1,693	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,314	1,693
2019	중구	소계	53	749,557	2,940,785	2	30,700	477,708	3	129,514	257,206	2	18,375	76,932	8	123,284	472,189	-	-	-	38	447,683	1,656,751
2019	중구	소공동	3	81,242	444,400	-	-	-	2	73,565	125,543	-	-	-	-	-	-	-	-	-	1	7,677	318,857
2019	중구	회현동	9	174,956	531,962	1	10,556	95,172	1	55,949	131,663	-	-	-	2	24,161	141,961	-	-	-	5	84,289	163,165
2019	중구	명동	5	41,737	101,620	-	-	-	-	-	-	-	-	-	1	5,836	27,421	-	-	-	4	35,901	74,199
2019	중구	광희동	12	214,714	647,668	-	-	-	-	-	-	-	-	-	4	88,459	285,634	-	-	-	8	126,255	362,035
2019	중구	을지로동	3	32,003	60,903	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	32,003	60,903
2019	중구	황학동	3	62,128	789,595	1	20,144	382,536	-	-	-	-	-	-	-	-	-	-	-	-	2	41,984	407,059
2019	중구	신당동	16	133,868	347,367	-	-	-	-	-	-	2	18,375	76,932	1	4,828	17,173	-	-	-	13	110,665	253,263
2019	중구	약수동	2	8,909	17,271	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,909	17,271
2019	용산구	소계	13	335,578	651,897	2	14,185	16,643	1	17,898	22,663	6	166,605	231,510	3	130,014	275,665	-	-	-	1	6,876	105,416
2019	용산구	원효로2동	1	8,382	16,441	-	-	-	-	-	-	1	8,382	16,441	-	-	-	-	-	-	-	-	-
2019	용산구	이태원1동	1	4,632	5,390	-	-	-	-	-	-	-	-	-	1	4,632	5,390	-	-	-	-	-	-
2019	용산구	서빙고동	1	7,470	16,250	-	-	-	-	-	-	-	-	-	1	7,470	16,250	-	-	-	-	-	-
2019	용산구	한강로동	10	315,094	613,816	2	14,185	16,643	1	17,898	22,663	5	158,223	215,069	1	117,912	254,025	-	-	-	1	6,876	105,416
2019	성동구	소계	13	91,378	598,745	2	26,084	198,358	-	-	-	1	27,129	31,845	-	-	-	1	13,997	142,038	9	24,168	226,504
2019	성동구	마장동	1	2,972	11,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,972	11,166
2019	성동구	행당1동	3	33,529	339,951	1	11,572	98,956	-	-	-	-	-	-	-	-	-	1	13,997	142,038	1	7,960	98,957
2019	성동구	행당2동	2	7,266	40,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,266	40,607
2019	성동구	성수2가1동	2	16,501	104,543	1	14,512	99,402	-	-	-	-	-	-	-	-	-	-	-	-	1	1,989	5,141
2019	성동구	성수2가3동	1	898	3,334	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	898	3,334
2019	성동구	용답동	1	27,129	31,845	-	-	-	-	-	-	1	27,129	31,845	-	-	-	-	-	-	-	-	-
2019	성동구	왕십리도선동	1	365	63,861	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	365	63,861
2019	성동구	금호2.3가동	1	1,156	1,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,156	1,284
2019	성동구	옥수동	1	1,562	2,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,562	2,155
2019	광진구	소계	19	105,207	822,945	2	14,314	313,848	1	27,016	88,629	-	-	-	-	-	-	-	-	-	16	63,877	420,468
2019	광진구	화양동	1	2,419	12,162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,419	12,162
2019	광진구	군자동	1	1,946	36,295	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,946	36,295
2019	광진구	중곡1동	2	3,483	4,300	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,483	4,300
2019	광진구	중곡4동	1	1,047	1,607	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,047	1,607
2019	광진구	구의2동	1	1,598	2,293	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,598	2,293
2019	광진구	구의3동	5	43,477	577,878	1	3,710	259,731	-	-	-	-	-	-	-	-	-	-	-	-	4	39,767	318,147
2019	광진구	광장동	1	1,829	5,440	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,829	5,440
2019	광진구	자양2동	2	1,837	27,069	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1,837	27,069
2019	광진구	자양3동	2	37,620	142,746	1	10,604	54,117	1	27,016	88,629	-	-	-	-	-	-	-	-	-	-	-	-
2019	광진구	자양4동	3	9,951	13,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	9,951	13,155
2019	동대문구	소계	21	183,143	771,692	2	22,920	220,971	1	40,346	177,793	3	28,501	75,102	-	-	-	-	-	-	15	91,376	297,826
2019	동대문구	회기동	1	3,824	22,485	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,824	22,485
2019	동대문구	휘경1동	1	2,178	2,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,178	2,820
2019	동대문구	청량리동	1	19,780	65,161	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	19,780	65,161
2019	동대문구	용신동	4	23,116	94,882	1	12,010	43,178	-	-	-	1	6,986	37,290	-	-	-	-	-	-	2	4,120	14,414
2019	동대문구	제기동	4	38,868	60,984	-	-	-	-	-	-	2	21,515	37,812	-	-	-	-	-	-	2	17,353	23,172
2019	동대문구	전농1동	4	65,930	379,671	1	10,910	177,793	1	40,346	177,793	-	-	-	-	-	-	-	-	-	2	14,674	24,085
